rank	name	childcount	min	max	mode	median	mean	stddev
genus	Verminephrobacter	1	3	3	3	3	3	0
genus	Desulfurispirillum	1	3	3	3	3	3	0
genus	Ilyobacter	1	8	8	8	8	8	0
genus	Ruminococcus2	1	1	1	1	1	1	0
genus	Belliella	1	4	4	4	4	4	0
genus	Nitratifractor	1	2	2	2	2	2	0
genus	Xylella	7	2	2	2	2	2	0
genus	Halorhabdus	2	1	1	1	1	1	0
genus	Croceibacter	1	2	2	2	2	2	0
genus	Tepidanaerobacter	1	2	2	2	2	2	0
genus	Psychrobacter	4	4	5	4	4	4.25	0.43
genus	Pantoea	5	7	7	7	7	7	0
genus	Halogeometricum	1	2	2	2	2	2	0
genus	Klebsiella	15	7	8	8	8	7.93	0.25
genus	SR1_genera_incertae_sedis	1	1	1	1	1	1	0
genus	Acetohalobium	1	5	5	5	5	5	0
genus	Draconibacterium	1	2	2	2	2	2	0
genus	Leisingera	1	5	5	5	5	5	0
genus	Mycobacterium	74	1	2	1	1	1.18	0.38
genus	Leuconostoc	9	4	4	4	4	4	0
genus	GpI	13	2	5	4	4	3.85	0.77
genus	Methylibium	1	1	1	1	1	1	0
genus	Alistipes	2	1	2		1.5	1.5	0.5
genus	Acidothermus	1	1	1	1	1	1	0
genus	Oligotropha	3	1	1	1	1	1	0
genus	Methylocella	1	2	2	2	2	2	0
genus	Natronococcus	1	4	4	4	4	4	0
genus	Coriobacterium	1	2	2	2	2	2	0
genus	Aerococcus	1	4	4	4	4	4	0
genus	Nitrospira	1	1	1	1	1	1	0
genus	Streptomyces	20	3	7	6	6	5.95	0.74
genus	Fervidobacterium	1	2	2	2	2	2	0
genus	Methanococcoides	1	3	3	3	3	3	0
genus	Owenweeksia	1	2	2	2	2	2	0
genus	Teredinibacter	1	3	3	3	3	3	0
genus	Rhodanobacter	1	2	2	2	2	2	0
genus	Amycolicicoccus	1	3	3	3	3	3	0
genus	Stigmatella	1	2	2	2	2	2	0
genus	Desulfurococcus	3	1	1	1	1	1	0
genus	Desulfobulbus	1	2	2	2	2	2	0
genus	Sphaerobacter	1	2	2	2	2	2	0
genus	Spirosoma	1	4	4	4	4	4	0
genus	Actinobacillus	4	6	6	6	6	6	0
genus	Haloferax	2	2	2	2	2	2	0
genus	Rothia	1	3	3	3	3	3	0
genus	Eggerthella	1	3	3	3	3	3	0
genus	Methylobacillus	1	2	2	2	2	2	0
genus	Natranaerobius	1	4	4	4	4	4	0
genus	Planococcus	1	8	8	8	8	8	0
genus	Nitrosomonas	1	1	1	1	1	1	0
genus	Halobacillus	1	7	7	7	7	7	0
genus	Alkaliphilus	2	8	10		9	9	1
genus	Candidatus Koribacter	1	1	1	1	1	1	0
genus	Haloarcula	3	3	3	3	3	3	0
genus	Stackebrandtia	1	2	2	2	2	2	0
genus	Slackia	1	2	2	2	2	2	0
genus	Pyrococcus	7	1	1	1	1	1	0
genus	Methanohalobium	1	2	2	2	2	2	0
genus	Desulfarculus	1	1	1	1	1	1	0
genus	Candidatus Solibacter	1	2	2	2	2	2	0
genus	Sanguibacter	1	4	4	4	4	4	0
genus	Thermohydrogenium	2	5	5	5	5	5	0
genus	Ammonifex	1	2	2	2	2	2	0
genus	Methylophaga	2	3	3	3	3	3	0
genus	Thermovibrio	1	3	3	3	3	3	0
genus	Wolinella	1	3	3	3	3	3	0
genus	Carnobacterium	3	6	8	8	8	7.33	0.94
genus	Spirochaeta	6	2	3	2	2	2.33	0.47
genus	Streptobacillus	1	5	5	5	5	5	0
genus	Deferribacter	1	2	2	2	2	2	0
genus	Kyrpidia	1	5	5	5	5	5	0
genus	Mahella	1	3	3	3	3	3	0
genus	Psychroflexus	1	3	3	3	3	3	0
genus	Salmonella	38	5	8	7	7	6.97	0.36
genus	Sodalis	3	1	7	7	7	5	2.83
genus	Photorhabdus	2	7	7	7	7	7	0
genus	Halothiobacillus	1	2	2	2	2	2	0
genus	Fusobacterium	3	5	5	5	5	5	0
genus	Aeropyrum	2	1	1	1	1	1	0
